 CMS Certification Number,Facility Name,Address,City,County,State,Zip,Telephone,Patients who reported that staff definitely gave care in a professional way and the facility was clean,Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean,Patients who reported that staff did not give care in a professional way or the facility was not clean,Facilities and staff linear mean score,Patients who reported that staff definitely communicated about what to expect during and after the procedure,Patients who reported that staff somewhat communicated about what to expect during and after the procedure,Patients who reported that staff did not communicate about what to expect during and after the procedure,Communication about your procedure linear mean score,Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest),Patients’ rating of the facility linear mean score,Patients who reported YES they would DEFINITELY recommend the facility to family or friends,Patients who reported PROBABLY YES they would recommend the facility to family or friends,"Patients who reported NO, they would not recommend the facility to family or friends",Patients recommending the facility linear mean score,Footnote,Number of Sampled Patients,Number of Completed Surveys,Survey Response Rate Percent,Measure Start Date,Measure End Date
180115,"ROCKCASTLE COUNTY HOSPITAL, INC.",145 NEWCOMB AVENUE,MOUNT VERNON,ROCKCASTLE,KY,40456,6062562195,98,2,0,99,94,5,1,96,92,6,2,96,90,9,1,96,2,564,141,25,10/1/2017,9/30/2018
181306,METHODIST HOSPITAL UNION COUNTY,4604 US HIGHWAY 60 WEST,MORGANFIELD,UNION,KY,42437,2703895000,,,,,,,,,,,,,,,,,4,,,,,
181315,EPHRAIM MCDOWELL FORT LOGAN HOSPITAL,110 METKER TRAIL,STANFORD,LINCOLN,KY,40484,6063654788,98,2,0,99,95,4,1,97,83,13,4,94,89,10,1,96,3,280,58,22,10/1/2017,9/30/2018
181319,BRECKINRIDGE MEMORIAL HOSPITAL,1011 OLD HIGHWAY 60,HARDINSBURG,BRECKINRIDGE,KY,40143,2707567000,,,,,,,,,,,,,,,,,4,,,,,
181320,"LIVINGSTON HOSPITAL AND HEALTHCARE SERVICES, INC",131 HOSPITAL DRIVE,SALEM,LIVINGSTON,KY,42078,2709882299,96,4,0,98,88,10,2,93,83,14,3,94,83,15,2,93,,755,186,25,10/1/2017,9/30/2018
190002,LAFAYETTE GENERAL MEDICAL CENTER,1214 COOLIDGE AVENUE,LAFAYETTE,LAFAYETTE,LA,70503,3372897991,97,3,0,98,92,6,2,95,88,10,2,95,86,11,3,94,,2261,561,26,10/1/2017,9/30/2018
190004,THIBODAUX REGIONAL MEDICAL CENTER,602 N ACADIA ROAD,THIBODAUX,LAFOURCHE,LA,70301,9854475500,98,2,0,99,93,6,1,96,90,9,1,96,89,10,1,96,,3269,727,24,10/1/2017,9/30/2018
190005,UNIVERSITY MEDICAL CENTER NEW ORLEANS,2000 CANAL STREET,NEW ORLEANS,ORLEANS,LA,70112,5049033000,96,3,1,98,91,7,2,95,86,9,5,94,84,12,4,93,,2068,324,16,10/1/2017,9/30/2018
190006,UNIVERSITY HOSPITAL & CLINICS,2390 WEST CONGRESS,LAFAYETTE,LAFAYETTE,LA,70506,3372616000,99,1,0,100,96,3,1,98,90,10,0,96,87,12,1,95,,2192,358,17,10/1/2017,9/30/2018
190007,NATCHITOCHES REGIONAL MEDICAL CENTER,501 KEYSER AVE,NATCHITOCHES,NATCHITOCHES,LA,71457,3184712628,99,1,0,99,94,5,1,96,90,9,1,95,80,17,3,91,,1104,296,27,10/1/2017,9/30/2018
190008,TERREBONNE GENERAL MEDICAL CENTER,8166 MAIN STREET,HOUMA,TERREBONNE,LA,70360,9858734141,98,2,0,99,92,7,1,95,87,11,2,95,85,13,2,94,,1322,329,25,10/1/2017,9/30/2018
190011,UNIVERSITY HEALTH CONWAY,4864 JACKSON STREET,MONROE,OUACHITA,LA,71202,3183307000,93,6,1,96,90,6,4,93,80,16,4,93,81,18,1,93,2,610,112,18,10/1/2017,9/30/2018
190017,OPELOUSAS GENERAL HEALTH SYSTEM,539 EAST PRUDHOMME STREET,OPELOUSAS,ST. LANDRY,LA,70570,3379483011,97,2,1,98,93,5,2,96,81,15,4,93,77,20,3,91,,1379,376,28,10/1/2017,9/30/2018
190019,CHRISTUS ST FRANCES CABRINI HOSPITAL,3330 MASONIC DRIVE,ALEXANDRIA,RAPIDES,LA,71301,3184871122,95,4,1,97,86,10,4,91,83,13,4,93,82,14,4,92,,2025,453,26,10/1/2017,9/30/2018
190020,LANE REGIONAL MEDICAL CENTER,6300 MAIN STREET,ZACHARY,E. BATON ROUGE,LA,70791,2256584000,,,,,,,,,,,,,,,,,4,,,,,
190027,CHRISTUS OCHSNER ST PATRICK HOSPITAL,524 DR MICHAEL DEBAKEY STREET,LAKE CHARLES,CALCASIEU,LA,70601,3374362511,96,4,0,98,92,7,1,95,87,11,2,94,82,14,4,92,,1341,317,26,10/1/2017,9/30/2018
190034,ABBEVILLE GENERAL HOSPITAL,118 N HOSPITAL DR,ABBEVILLE,VERMILION,LA,70510,3378935466,99,1,0,99,95,3,2,97,90,7,3,95,80,18,2,92,2,516,126,31,10/1/2017,9/30/2018
190039,WEST JEFFERSON MEDICAL CENTER,1101 MEDICAL CENTER BLVD,MARRERO,JEFFERSON,LA,70072,5043475511,96,4,0,98,91,7,2,94,78,18,4,91,73,23,4,89,,1977,491,25,10/1/2017,9/30/2018
190040,SLIDELL MEMORIAL HOSPITAL,1001 GAUSE BLVD,SLIDELL,ST. TAMMANY,LA,70458,9856432200,,,,,,,,,,,,,,,,,4,,,,,
190041,CHRISTUS HEALTH SHREVEPORT - BOSSIER,1453 E BERT KOUNS INDUSTRIAL DRIVE,SHREVEPORT,CADDO,LA,71105,3186815000,95,4,1,97,89,8,3,93,85,13,2,94,85,13,2,94,,2391,649,29,10/1/2017,9/30/2018
190044,ACADIA GENERAL HOSPITAL,1305 CROWLEY RAYNE HIGHWAY,CROWLEY,ACADIA,LA,70526,3377833222,98,2,0,99,93,6,1,96,88,11,1,95,85,14,1,94,,1325,348,27,10/1/2017,9/30/2018
190046,TOURO INFIRMARY,1401 FOUCHER STREET,NEW ORLEANS,ORLEANS,LA,70115,5048978247,94,6,0,97,91,7,2,95,80,18,2,93,77,19,4,90,,1289,285,22,10/1/2017,9/30/2018
190054,IBERIA MEDICAL CENTER,2315 E MAIN STREET,NEW IBERIA,IBERIA,LA,70562,3373640441,,,,,,,,,,,,,,,,,4,,,,,
190065,BATON ROUGE GENERAL MEDICAL CENTER,3600 FLORIDA BLVD,BATON ROUGE,E. BATON ROUGE,LA,70806,2253877767,95,4,1,97,91,7,2,95,88,10,2,94,86,13,1,95,,1732,437,25,10/1/2017,9/30/2018
190090,WINN PARISH MEDICAL CENTER,301 W BOUNDARY AVE,WINNFIELD,WINN,LA,71483,3186483000,,,,,,,,,,,,,,,,,4,,,,,
190098,OCHSNER LSU HEALTH SHREVEPORT,1541 KINGS HIGHWAY,SHREVEPORT,CADDO,LA,71103,3186755000,90,8,2,94,87,10,3,92,74,21,5,91,76,19,5,89,2,969,198,21,10/1/2017,9/30/2018
190114,CLAIBORNE MEMORIAL MEDICAL CENTER,620 EAST COLLEGE STREET,HOMER,CLAIBORNE,LA,71040,3189272024,,,,,,,,,,,,,,,,,4,,,,,
190146,EAST JEFFERSON GENERAL HOSPITAL,4200 HOUMA BLVD,METAIRIE,JEFFERSON,LA,70006,5044544000,96,3,1,97,90,8,2,94,79,17,4,92,83,15,2,93,,1944,464,27,10/1/2017,9/30/2018
190160,GLENWOOD REGIONAL MEDICAL CENTER,503 MCMILLAN ROAD,WEST MONROE,OUACHITA,LA,71291,3183294600,,,,,,,,,,,,,,,,,4,,,,,
190201,CHRISTUS OCHSNER LAKE AREA HOSPITAL,4200 NELSON ROAD,LAKE CHARLES,CALCASIEU,LA,70605,3374746370,,,,,,,,,,,,,,,,,4,,,,,
190245,MONROE SURGICAL HOSPITAL,2408 BROADMOOR BLVD,MONROE,OUACHITA,LA,71201,3184100002,,,,,,,,,,,,,,,,,4,,,,,
190251,SURGICAL SPECIALTY CENTER OF BATON ROUGE,8080 BLUEBONNET BLVD,BATON ROUGE,E. BATON ROUGE,LA,70810,2254088080,98,2,0,99,92,7,1,96,93,6,1,96,91,8,1,96,,1570,456,29,10/1/2017,9/30/2018
190259,LAFAYETTE SURGICAL SPECIALTY HOSPITAL,1101 KALISTE SALOOM RD,LAFAYETTE,LAFAYETTE,LA,70508,3377694100,99,1,0,99,93,5,2,96,94,6,0,98,94,4,2,96,,1504,431,29,10/1/2017,9/30/2018
190263,HEART HOSPITAL OF LAFAYETTE,1105 KALISTE SALOOM ROAD,LAFAYETTE,LAFAYETTE,LA,70508,3375211000,97,3,0,98,90,8,2,94,90,8,2,96,90,8,2,96,,451,162,36,10/1/2017,9/30/2018
190268,LAFAYETTE GENERAL SURGICAL HOSPITAL,1000 W PINHOOK RD SUITE 100,LAFAYETTE,LAFAYETTE,LA,70503,3372898095,98,2,0,99,94,5,1,97,92,7,1,96,91,8,1,96,,1336,444,33,10/1/2017,9/30/2018
190270,SOUTHERN SURGICAL HOSPITAL,1700 W LINDBERG DRIVE,SLIDELL,ST. TAMMANY,LA,70458,9856410600,98,2,0,99,92,6,2,95,90,8,2,96,91,7,2,96,,1287,308,24,10/1/2017,9/30/2018
190278,SPECIALISTS HOSPITAL SHREVEPORT,1500 LINE AVENUE,SHREVEPORT,CADDO,LA,71101,3182133800,96,4,0,98,91,7,2,95,90,10,0,96,87,11,2,94,,1414,462,33,10/1/2017,9/30/2018
190303,CYPRESS POINTE SURGICAL HOSPITAL,42570 SOUTH AIRPORT RD,HAMMOND,TANGIPAHOA,LA,70403,9855106200,,,,,,,,,,,,,,,,,4,,,,,
191310,FRANKLIN FOUNDATION HOSPITAL,1097 NORTHWEST BLVD,FRANKLIN,ST. MARY,LA,70538,3378280760,98,2,0,99,94,4,2,96,85,13,2,94,76,21,3,90,,609,118,19,10/1/2017,9/30/2018
191317,JACKSON PARISH HOSPITAL,165 BEECH SPRINGS ROAD,JONESBORO,JACKSON,LA,71251,3182594435,92,7,1,96,88,9,3,93,72,21,7,90,75,22,3,91,3,249,78,32,10/1/2017,9/30/2018
200008,MERCY HOSPITAL,144 STATE STREET,PORTLAND,CUMBERLAND,ME,4101,2078793000,97,3,0,98,93,6,1,96,88,10,2,95,87,11,2,95,,2928,979,33,10/1/2017,9/30/2018
200019,SOUTHERN MAINE HEALTH CARE,1 MEDICAL CENTER DRIVE,BIDDEFORD,YORK,ME,4005,2072837000,97,3,0,98,91,7,2,95,85,13,2,93,81,15,4,92,,1338,410,31,10/1/2017,9/30/2018
200020,YORK HOSPITAL,15 HOSPITAL DRIVE,YORK,YORK,ME,3909,2073634321,,,,,,,,,,,,,,,,,4,,,,,
200021,MID COAST HOSPITAL,123 MEDICAL CENTER DRIVE,BRUNSWICK,CUMBERLAND,ME,4011,2077290181,,,,,,,,,,,,,,,,,4,,,,,
200024,CENTRAL MAINE MEDICAL CENTER,300 MAIN STREET,LEWISTON,ANDROSCOGGIN,ME,4240,2077950111,96,4,0,98,93,6,1,96,80,17,3,92,79,17,4,91,,1179,373,32,10/1/2017,9/30/2018
200033,EASTERN MAINE MEDICAL CENTER,PO BOX 404,BANGOR,PENOBSCOT,ME,4401,2079737000,96,3,1,98,89,9,2,94,79,17,4,92,79,18,3,92,,4705,1294,28,10/1/2017,9/30/2018
200037,FRANKLIN MEMORIAL HOSPITAL,111 FRANKLIN HEALTH COMMONS,FARMINGTON,FRANKLIN,ME,4938,2077786031,98,2,0,99,92,7,1,96,83,15,2,93,76,22,2,91,,2129,725,34,10/1/2017,9/30/2018
200041,NORTHERN LIGHT INLAND HOSPITAL,200 KENNEDY MEMORIAL DRIVE,WATERVILLE,KENNEBEC,ME,4901,2078613000,,,,,,,,,,,,,,,,,4,,,,,
200050,NORTHERN LIGHT MAINE COAST HOSPITAL,50 UNION STREET,ELLSWORTH,HANCOCK,ME,4605,2076675311,97,2,1,98,89,8,3,93,77,17,6,91,74,22,4,89,,867,280,32,10/1/2017,9/30/2018
200052,NORTHERN MAINE MEDICAL CENTER,194 E MAIN STREET,FORT KENT,AROOSTOOK,ME,4743,2078343195,98,2,0,99,92,7,1,95,85,12,3,93,77,19,4,90,2,957,360,38,10/1/2017,9/30/2018
201305,CALAIS REGIONAL HOSPITAL,24 HOSPITAL LANE,CALAIS,WASHINGTON,ME,4619,2074547521,95,4,1,97,88,8,4,92,80,18,2,93,68,32,0,89,3,184,46,25,10/1/2017,9/30/2018
201311,DOWN EAST COMMUNITY HOSPITAL,11 HOSPITAL DRIVE,MACHIAS,WASHINGTON,ME,4654,2072553356,98,2,0,99,95,4,1,97,86,13,1,95,83,15,2,93,,1102,392,36,10/1/2017,9/30/2018
210001,MERITUS MEDICAL CENTER,11116 MEDICAL CAMPUS ROAD,HAGERSTOWN,WASHINGTON,MD,21742,2403139500,,,,,,,,,,,,,,,,,4,,,,,
210004,HOLY CROSS HOSPITAL,1500 FOREST GLEN ROAD,SILVER SPRING,MONTGOMERY,MD,20910,3017547000,,,,,,,,,,,,,,,,,4,,,,,
210012,SINAI HOSPITAL OF BALTIMORE,2401 WEST BELVEDERE AVENUE,BALTIMORE,BALTIMORE CITY,MD,21215,4106015131,96,3,1,98,93,6,1,96,80,15,5,91,77,20,3,91,,1035,255,25,10/1/2017,9/30/2018
210015,MEDSTAR FRANKLIN SQUARE MEDICAL CENTER,9000 FRANKLIN SQUARE DRIVE,BALTIMORE,BALTIMORE,MD,21237,4437777850,97,3,0,99,92,6,2,95,83,14,3,93,77,21,2,91,,1985,469,24,10/1/2017,9/30/2018
210018,MEDSTAR MONTGOMERY MEDICAL CENTER,18101 PRINCE PHILIP DRIVE,OLNEY,MONTGOMERY,MD,20832,3017748882,97,3,0,98,91,8,1,95,86,12,2,94,81,17,2,92,,1495,452,30,10/1/2017,9/30/2018
210023,ANNE ARUNDEL MEDICAL CENTER,2001 MEDICAL PARKWAY,ANNAPOLIS,ANNE ARUNDEL,MD,21401,4434811307,98,2,0,99,93,6,1,96,90,9,1,96,89,9,2,95,,3326,983,30,10/1/2017,9/30/2018
210024,MEDSTAR UNION MEMORIAL HOSPITAL,201 EAST UNIVERSITY PARKWAY,BALTIMORE,BALTIMORE CITY,MD,21218,4105542227,95,5,0,97,89,9,2,94,79,18,3,92,83,15,2,93,,2367,674,29,10/1/2017,9/30/2018
210027,WESTERN MARYLAND REGIONAL MEDICAL CENTER,12500 WILLOWBROOK ROAD,CUMBERLAND,ALLEGANY,MD,21502,2409648001,,,,,,,,,,,,,,,,,4,,,,,
210028,MEDSTAR SAINT MARY'S HOSPITAL,25500 POINT LOOKOUT ROAD,LEONARDTOWN,ST. MARYS,MD,20650,3014756001,97,3,0,99,91,7,2,94,81,16,3,92,77,20,3,91,,1584,392,25,10/1/2017,9/30/2018
210033,CARROLL HOSPITAL CENTER,200 MEMORIAL AVENUE,WESTMINSTER,CARROLL,MD,21157,4108483000,98,2,0,99,90,9,1,94,87,12,1,94,80,19,1,93,,1105,305,28,10/1/2017,9/30/2018
210034,MEDSTAR HARBOR HOSPITAL,3001 SOUTH HANOVER STREET,BALTIMORE,BALTIMORE CITY,MD,21225,4103503201,97,3,0,98,91,8,1,95,84,13,3,94,80,17,3,92,,2122,384,18,10/1/2017,9/30/2018
210039,CALVERTHEALTH MEDICAL CENTER,100 HOSPITAL ROAD,PRINCE FREDERICK,CALVERT,MD,20678,4105358239,98,2,0,99,91,7,2,95,83,15,2,93,78,20,2,91,,1344,372,28,10/1/2017,9/30/2018
210040,NORTHWEST HOSPITAL CENTER,5401 OLD COURT ROAD,RANDALLSTOWN,BALTIMORE,MD,21133,4105212200,98,2,0,99,93,5,2,96,89,10,1,95,84,13,3,93,,1476,395,27,10/1/2017,9/30/2018
210044,GREATER BALTIMORE MEDICAL CENTER,6701 NORTH CHARLES STREET,BALTIMORE,BALTIMORE,MD,21204,4438492000,97,3,0,98,92,6,2,95,89,9,2,95,87,11,2,95,,4295,1238,29,10/1/2017,9/30/2018
210056,MEDSTAR GOOD SAMARITAN HOSPITAL,5601 LOCH RAVEN BOULEVARD,BALTIMORE,BALTIMORE CITY,MD,21239,4434443902,97,3,0,98,92,6,2,95,86,12,2,94,82,15,3,93,,3656,810,22,10/1/2017,9/30/2018
210062,MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER,7503 SURRATTS ROAD,CLINTON,PRINCE GEORGES,MD,20735,3018688000,92,7,1,96,89,9,2,93,70,24,6,89,61,34,5,85,,2562,539,21,10/1/2017,9/30/2018
220008,STURDY MEMORIAL HOSPITAL,211 PARK STREET,ATTLEBORO,BRISTOL,MA,2703,5082225200,97,3,0,99,89,9,2,93,80,19,1,93,79,20,1,92,,1683,540,32,10/1/2017,9/30/2018
220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MIDDLESEX,MA,2138,6176652300,95,4,1,97,92,7,1,95,82,14,4,92,77,20,3,90,,3594,594,17,10/1/2017,9/30/2018
220012,CAPE COD HEALTHCARE,88 LEWIS BAY ROAD,HYANNIS,BARNSTABLE,MA,2601,5087711800,97,3,0,98,88,10,2,93,86,12,2,94,87,11,2,95,,1128,363,32,10/1/2017,9/30/2018
220016,BAYSTATE FRANKLIN MEDICAL CENTER,164 HIGH STREET,GREENFIELD,FRANKLIN,MA,1301,4137730211,97,3,0,98,90,8,2,94,86,11,3,94,81,17,2,92,,1873,627,34,10/1/2017,9/30/2018
220030,BAYSTATE WING HOSPITAL,40 WRIGHT STREET,PALMER,HAMPDEN,MA,1069,4132837651,97,3,0,99,92,7,1,95,83,15,2,94,82,18,0,94,,1465,441,31,10/1/2017,9/30/2018
220060,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,275 SANDWICH STREET,PLYMOUTH,PLYMOUTH,MA,2360,5087462000,97,2,1,98,91,6,3,94,82,15,3,93,82,17,1,94,,1465,433,30,10/1/2017,9/30/2018
220065,BAYSTATE NOBLE HOSPITAL,115 WEST SILVER STREET,WESTFIELD,HAMPDEN,MA,1085,4135682811,95,4,1,97,87,10,3,92,68,29,3,89,67,19,14,81,3,691,21,10,10/1/2017,9/30/2018
220075,MASSACHUSETTS EYE AND EAR INFIRMARY -,243 CHARLES STREET,BOSTON,SUFFOLK,MA,2114,6175237900,96,4,0,98,90,8,2,94,87,12,1,95,90,9,1,96,,1947,658,34,10/1/2017,9/30/2018
220077,BAYSTATE MEDICAL CENTER,759 CHESTNUT STREET,SPRINGFIELD,HAMPDEN,MA,1199,4137940000,97,3,0,98,90,9,1,95,86,13,1,94,84,14,2,93,,1936,564,29,10/1/2017,9/30/2018
220088,NEW ENGLAND BAPTIST HOSPITAL,125 PARKER HILL AVENUE,BOSTON,SUFFOLK,MA,2120,6177545800,98,2,0,99,89,9,2,94,90,9,1,95,92,7,1,97,,861,286,33,10/1/2017,9/30/2018
220090,MILFORD REGIONAL MEDICAL CENTER,14 PROSPECT STREET,MILFORD,WORCESTER,MA,1757,5084731190,,,,,,,,,,,,,,,,,4,,,,,
220100,SOUTH SHORE HOSPITAL,55 FOGG ROAD,SOUTH WEYMOUTH,NORFOLK,MA,2190,7813408000,98,2,0,99,93,5,2,95,88,10,2,95,86,13,1,95,,3727,1115,30,10/1/2017,9/30/2018
220108,BETH ISRAEL DEACONESS HOSPITAL - MILTON,199 REEDSDALE ROAD,MILTON,NORFOLK,MA,2186,6176964600,97,3,0,99,92,7,1,95,88,10,2,95,87,11,2,95,,3004,801,27,10/1/2017,9/30/2018
220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,SUFFOLK,MA,2111,6176365000,96,4,0,98,92,7,1,95,87,11,2,94,84,13,3,93,,1547,350,23,10/1/2017,9/30/2018
220135,FALMOUTH HOSPITAL,67 & 100 TER HEUN DRIVE,FALMOUTH,BARNSTABLE,MA,2540,5085485300,98,2,0,99,93,6,1,96,92,7,1,96,91,8,1,97,,1301,398,31,10/1/2017,9/30/2018
230003,SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL,8333 FELCH ST,ZEELAND,OTTAWA,MI,49464,6167724644,99,1,0,99,94,5,1,96,92,7,1,96,91,9,0,97,,1460,479,33,10/1/2017,9/30/2018
230005,EMMA L BIXBY MEDICAL CENTER,818 RIVERSIDE AVENUE,ADRIAN,LENAWEE,MI,49221,5172650900,,,,,,,,,,,,,,,,,4,,,,,
230015,THREE RIVERS HEALTH,701 S HEALTH PARKWAY,THREE RIVERS,ST. JOSEPH,MI,49093,2692739602,95,4,1,97,91,8,1,95,79,17,4,92,81,15,4,92,,1537,343,23,10/1/2017,9/30/2018
230017,BRONSON METHODIST HOSPITAL,601 JOHN STREET,KALAMAZOO,KALAMAZOO,MI,49007,2693416000,98,2,0,99,93,6,1,96,87,11,2,94,86,12,2,94,2,1320,424,32,10/1/2017,9/30/2018
230021,"LAKELAND HOSPITAL, ST JOSEPH",1234 NAPIER AVENUE,ST JOSEPH,BERRIEN,MI,49085,2699838300,97,3,0,98,90,8,2,94,86,13,1,95,86,13,1,95,,4515,1213,28,10/1/2017,9/30/2018
230022,PROMEDICA COLDWATER REGIONAL HOSPITAL,274 E CHICAGO ST,COLDWATER,BRANCH,MI,49036,5172795400,98,2,0,99,93,6,1,96,80,18,2,93,71,27,2,90,,762,136,24,10/1/2017,9/30/2018
230035,SPECTRUM HEALTH UNITED HOSPITAL,615 S BOWER STREET,GREENVILLE,MONTCALM,MI,48838,6167544691,98,2,0,99,90,8,2,94,88,10,2,95,86,13,1,95,,1676,510,30,10/1/2017,9/30/2018
430093,SAME DAY SURGERY CENTER LLC,651 CATHEDRAL DRIVE,RAPID CITY,PENNINGTON,SD,57701,6057559900,,,,,,,,,,,,,,,,,4,,,,,
230038,SPECTRUM HEALTH - BUTTERWORTH CAMPUS,100 MICHIGAN ST NE,GRAND RAPIDS,KENT,MI,49503,6163911774,97,3,0,98,91,7,2,95,87,11,2,94,85,13,2,94,,1873,492,26,10/1/2017,9/30/2018
230040,SPECTRUM HEALTH PENNOCK,1009 W GREEN ST,HASTINGS,BARRY,MI,49058,2699453451,99,1,0,99,94,5,1,96,81,17,2,93,75,24,1,91,,1344,443,33,10/1/2017,9/30/2018
230046,UNIVERSITY OF MICHIGAN HEALTH SYSTEM,"1500 E MEDICAL CENTER DRIVE, SPC 5474",ANN ARBOR,WASHTENAW,MI,48109,7347641505,,,,,,,,,,,,,,,,,4,,,,,
230055,DICKINSON COUNTY MEMORIAL HOSPITAL,1721 S STEPHENSON AVE,IRON MOUNTAIN,DICKINSON,MI,49801,9067741313,,,,,,,,,,,,,,,,,4,,,,,
230075,BRONSON BATTLE CREEK HOSPITAL,300 NORTH AVENUE,BATTLE CREEK,CALHOUN,MI,49017,2699668000,98,2,0,99,88,10,2,93,78,18,4,91,68,28,4,88,2,885,243,27,10/1/2017,9/30/2018
230078,LAKELAND HOSPITAL WATERVLIET,400 MEDICAL PARK DR,WATERVLIET,BERRIEN,MI,49098,2694633111,96,3,1,98,91,7,2,95,86,11,3,95,91,7,2,96,,659,220,34,10/1/2017,9/30/2018
230085,BRONSON SOUTH HAVEN HOSPITAL,955 S BAILEY AVE,SOUTH HAVEN,VAN BUREN,MI,49090,2696375271,98,2,0,99,92,7,1,95,78,20,2,93,73,26,1,91,2,661,224,34,10/1/2017,9/30/2018
230093,SPECTRUM HEALTH BIG RAPIDS HOSPITAL,605 OAK STREET,BIG RAPIDS,MECOSTA,MI,49307,2317968691,98,2,0,99,93,6,1,96,83,15,2,93,77,21,2,91,,1137,373,33,10/1/2017,9/30/2018
230096,STURGIS HOSPITAL,916 MYRTLE AVE,STURGIS,ST. JOSEPH,MI,49091,2696517824,,,,,,,,,,,,,,,,,4,,,,,
230099,PROMEDICA MONROE REGIONAL HOSPITAL,718 N MACOMB ST,MONROE,MONROE,MI,48162,7342408400,,,,,,,,,,,,,,,,,4,,,,,
230110,SPECTRUM HEALTH LUDINGTON HOSPITAL,ONE N ATKINSON DRIVE,LUDINGTON,MASON,MI,49431,2318432591,97,2,1,98,92,6,2,95,79,17,4,92,70,27,3,88,,1143,367,33,10/1/2017,9/30/2018
230133,MUNSON HEALTHCARE OTSEGO MEMORIAL HOSPITAL,825 N CENTER AVE,GAYLORD,OTSEGO,MI,49735,9897312100,,,,,,,,,,,,,,,,,4,,,,,
230264,SOUTHEAST MICHIGAN SURGICAL HOSPITAL LLC,21230 DEQUINDRE ROAD,WARREN,MACOMB,MI,48091,5864271000,94,5,1,97,90,8,2,94,84,10,6,93,80,16,4,91,,744,158,21,10/1/2017,9/30/2018
231309,ASPIRUS ONTONAGON HOSPITAL INC,601 S SEVENTH ST,ONTONAGON,ONTONAGON,MI,49953,9068848000,99,1,0,99,88,12,0,94,93,7,0,97,90,10,0,97,3,75,20,28,10/1/2017,9/30/2018
231312,SHERIDAN COMMUNITY HOSPITAL,301 N MAIN ST,SHERIDAN,MONTCALM,MI,48884,9892913261,,,,,,,,,,,,,,,,,4,,,,,
231317,SPECTRUM HEALTH KELSEY HOSPITAL,418 WASHINGTON,LAKEVIEW,MONTCALM,MI,48850,9893527211,97,3,0,98,91,8,1,95,79,19,2,92,83,15,2,94,2,427,173,41,10/1/2017,9/30/2018
231318,"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC",1400 W ICE LAKE ROAD,IRON RIVER,IRON,MI,49935,9062656121,96,4,0,98,91,7,2,95,86,12,2,94,86,12,2,94,,847,191,23,10/1/2017,9/30/2018
231319,ASPIRUS KEWEENAW HOSPITAL AND CLINICS,205 OSCEOLA,LAURIUM,HOUGHTON,MI,49913,9063376500,97,3,0,99,92,7,1,95,83,15,2,94,89,9,2,95,,1015,254,25,10/1/2017,9/30/2018
231323,SPECTRUM HEALTH REED CITY HOSPITAL,300 N PATTERSON,REED CITY,OSCEOLA,MI,49677,2318323271,98,2,0,99,90,7,3,94,83,14,3,94,79,19,2,92,,1375,444,32,10/1/2017,9/30/2018
231332,BRONSON LAKEVIEW HOSPITAL,408 HAZEN STREET,PAW PAW,VAN BUREN,MI,49079,2696571400,97,3,0,98,93,5,2,96,83,14,3,93,80,18,2,92,2,635,213,34,10/1/2017,9/30/2018
231333,ASPIRUS IRONWOOD HOSPITAL,N10561 GRAND VIEW LANE,IRONWOOD,GOGEBIC,MI,49938,9069322525,99,1,0,99,94,5,1,96,83,15,2,94,81,18,1,93,,1352,326,25,10/1/2017,9/30/2018
231334,PROMEDICA HERRICK HOSPITAL,500 E POTTAWATAMIE STREET,TECUMSEH,LENAWEE,MI,49286,5174243000,,,,,,,,,,,,,,,,,4,,,,,
231337,OSF ST FRANCIS HOSPITAL AND MEDICAL GROUP,3401 LUDINGTON ST,ESCANABA,DELTA,MI,49829,9067863311,98,2,0,99,94,5,1,97,81,18,1,93,77,22,1,92,,1295,476,37,10/1/2017,9/30/2018
231338,SPECTRUM HEALTH GERBER MEMORIAL,212 S SULLIVAN ST,FREMONT,NEWAYGO,MI,49412,2319243300,98,2,0,99,94,5,1,96,85,14,1,94,79,19,2,92,,1516,479,32,10/1/2017,9/30/2018
240001,NORTH MEMORIAL MEDICAL CENTER,3300 OAKDALE NORTH,ROBBINSDALE,HENNEPIN,MN,55422,7635205200,97,3,0,98,90,8,2,94,82,15,3,93,81,17,2,93,,3338,1045,31,10/1/2017,9/30/2018
240020,CAMBRIDGE MEDICAL CENTER,701 SOUTH DELLWOOD AVENUE,CAMBRIDGE,ISANTI,MN,55008,7636897700,98,2,0,99,91,8,1,95,83,15,2,93,78,20,2,92,2,1359,469,35,10/1/2017,9/30/2018
240036,ST CLOUD HOSPITAL,1406 6TH AVE NORTH,SAINT CLOUD,STEARNS,MN,56303,3202512700,,,,,,,,,,,,,,,,,4,,,,,
